model,features
model_1,"('brl_percent', 'exit_velocity', 'k_percent', 'bb_percent', 'chase_percent')"
model_2,"('brl_percent', 'k_percent', 'bb_percent')"
model_3,"('brl_percent', 'exit_velocity', 'k_percent', 'bb_percent')"
model_4,"('brl_percent', 'exit_velocity', 'hard_hit_percent', 'k_percent', 'bb_percent', 'chase_percent')"
model_5,"('brl_percent', 'k_percent', 'bb_percent', 'chase_percent')"
model_6,"('brl_percent', 'exit_velocity', 'k_percent', 'bb_percent', 'whiff_percent')"
model_7,"('brl_percent', 'hard_hit_percent', 'k_percent', 'bb_percent')"
model_8,"('brl_percent', 'exit_velocity', 'hard_hit_percent', 'k_percent', 'bb_percent', 'whiff_percent', 'chase_percent')"
model_9,"('brl_percent', 'hard_hit_percent', 'k_percent', 'bb_percent', 'whiff_percent', 'chase_percent')"
model_10,"('brl_percent', 'exit_velocity', 'k_percent', 'bb_percent', 'whiff_percent', 'chase_percent')"
model_11,"('brl_percent', 'exit_velocity', 'hard_hit_percent', 'k_percent', 'bb_percent', 'whiff_percent')"
model_12,"('brl_percent', 'k_percent', 'bb_percent', 'whiff_percent', 'chase_percent')"
model_13,"('brl_percent', 'hard_hit_percent', 'k_percent', 'bb_percent', 'whiff_percent')"
model_14,"('brl_percent', 'hard_hit_percent', 'k_percent', 'bb_percent', 'chase_percent')"
model_15,"('brl_percent', 'exit_velocity', 'hard_hit_percent', 'k_percent', 'bb_percent')"
model_16,"('brl_percent', 'k_percent', 'bb_percent', 'whiff_percent')"
model_17,"('brl_percent', 'k_percent', 'chase_percent')"
